PU1S1,PU2S1,PU3S1,PU4S1,PU5S1,PU6S1,PEU1S1,PEU2S1,PEU3S1,PEU4S1,PEU5S1,PEU6S1,AU1S1,AU2S1,AU3S1,IU1S1,IU2S1,IU3S1,PU1S2,PU2S2,PU3S2,PU4S2,PU5S2,PU6S2,PEU1S2,PEU2S2,PEU3S2,PEU4S2,PEU5S2,PEU6S2,AU1S2,AU2S2,AU3S2,IU1S2,IU2S2,IU3S2,PU1S3,PU2S3,PU3S3,PU4S3,PU5S3,PU6S3,PEU1S3,PEU2S3,PEU3S3,PEU4S3,PEU5S3,PEU6S3,AU1S3,AU2S3,AU3S3,IU1S3,IU2S3,IU3S3,S1PU,S1PEU,S1AU,S1IU,SCEN1,SCEN2,SCEN3,SCEN_prod,Visual,Vis_max,Complete,PUS1_tot,PUS2_tot,PUS3_tot,PEUS1_tot,PEUS2_tot,PEUS3_tot,AUS1_tot,AUS2_tot,AUS3_tot,IUS1_tot,IUS2_tot,IUS3_tot,S1_tot,S2_tot,S3_tot,filter_MV,S_tot
7,6,7,7,7,7,5,4,5,4,5,5,6,6,6,6,6,6,7,6,7,7,7,7,5,5,5,5,6,6,6,6,6,7,7,7,6,6,5,6,5,5,5,4,3,4,4,4,5,5,5,4,5,5,7,5,6,6,2,2,2,8,3,1,1,41,41,33,28,32,24,18,18,15,18,21,14,105,112,86,1,303
7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,41,42,42,21,21,21,21,21,21,124,125,125,1,374
6,5,5,6,6,6,5,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.5,6,6,2,2,2,8,3,1,1,34,36,36,38,36,36,18,18,18,18,18,18,108,108,108,1,324
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,8,3,1,1,36,36,36,36,36,36,18,18,18,18,18,18,108,108,108,1,324
6,6,6,6,6,6,6,3,6,3,6,6,6,6,3,6,6,6,4,4,3,3,3,5,4,3,4,3,3,3,6,4,4,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,8,3,1,1,36,22,36,30,20,36,15,14,18,18,11,18,99,67,108,1,274
6,6,6,5,6,7,7,6,7,5,6,6,6,6,6,6,6,7,6,6,7,7,6,6,6,5,6,5,6,6,7,7,7,7,6,6,6,5,5,6,7,7,6,6,6,6,6,5,6,6,6,6,7,7,6,6,6,6,2,2,2,8,3,1,1,36,38,36,37,34,35,18,21,18,19,19,20,110,112,109,1,331
6,6,4,5,6,4,7,7,7,5,6,6,4,4,6,7,4,7,7,4,5,2,5,6,7,4,7,4,7,7,6,4,6,7,4,7,5,4,2,4,5,4,7,7,4,2,5,6,3,4,3,2,3,7,5.5,6.5,4,7,1,2,2,4,2,0,1,31,29,24,38,36,31,14,16,10,18,18,12,101,99,77,1,277
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
7,6,6,6,7,6,7,6,6,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,2,2,2,8,3,1,1,38,40,41,40,39,41,20,20,21,21,20,20,119,119,123,1,361
7,6,4,7,7,7,7,7,7,4,4,4,7,7,7,7,7,7,7,6,7,7,4,7,4,7,7,7,7,4,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5.5,7,7,1,1,2,2,1,0,1,38,38,41,33,36,42,21,21,21,21,21,21,113,116,125,1,354
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,2,2,2,8,3,1,1,41,36,36,42,28,36,21,18,18,21,18,18,125,100,108,1,333
6,5,6,5,6,6,5,4,5,5,6,5,6,5,5,6,6,7,5,5,5,5,6,6,4,4,5,5,4,4,6,5,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6,5,5,6,2,2,1,4,2,0,1,34,32,37,30,26,36,16,17,19,19,19,19,99,94,111,1,304
4,6,7,7,5,7,6,7,7,5,6,7,6,6,7,7,6,6,5,6,6,7,7,7,6,7,6,7,7,6,6,6,7,7,7,6,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6.5,6.5,6,6,2,2,2,8,3,1,1,36,38,39,38,39,41,19,19,21,19,20,21,112,116,122,1,350
